feature,importance
POS_SK_DPD_MAX,9
PREV_AMT_GOODS_PRICE_MAX,9
POS_SK_DPD_MEAN,9
POS_SK_DPD_SUM,9
ENTRANCES_AVG,9
FLAG_OWN_CAR,8
POS_SK_DPD_DEF_SUM,8
WALLSMATERIAL_MODE,8
OBS_30_CNT_SOCIAL_CIRCLE,8
REGION_RATING_CLIENT_W_CITY,8
NONLIVINGAPARTMENTS_AVG,8
AMT_REQ_CREDIT_BUREAU_MON,7
BUREAU_AMT_CREDIT_MAX_OVERDUE_MIN,7
LIVINGAPARTMENTS_MEDI,7
ENTRANCES_MEDI,7
OBS_60_CNT_SOCIAL_CIRCLE,7
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,7
ENTRANCES_MODE,6
AMT_REQ_CREDIT_BUREAU_QRT,6
CONTACTS_COUNT,6
POS_POS_LATE_SUM,5
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,5
FLAG_EMAIL,5
FLOORSMIN_AVG,5
CNT_FAM_MEMBERS,4
FLOORSMAX_MODE,4
LIVE_CITY_NOT_WORK_CITY,4
NAME_TYPE_SUITE,4
REG_CITY_NOT_WORK_CITY,4
REG_CITY_NOT_LIVE_CITY,4
BUREAU_CNT_CREDIT_PROLONG_MEAN,4
AMT_REQ_CREDIT_BUREAU_DAY,4
FONDKAPREMONT_MODE,3
ELEVATORS_AVG,3
NAME_CONTRACT_TYPE,3
CNT_CHILDREN,3
NONLIVINGAPARTMENTS_MEDI,3
EMERGENCYSTATE_MODE,3
FLOORSMAX_MEDI,3
NONLIVINGAPARTMENTS_MODE,3
CC_CC_LATE_MEAN,3
BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,3
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,3
PREV_NFLAG_LAST_APPL_IN_DAY_MEAN,3
CC_CC_LATE_SUM,3
POS_CNT_INSTALMENT_FUTURE_MIN,3
FLAG_DOCUMENT_18,3
BUREAU_CREDIT_DAY_OVERDUE_MEAN,2
FLAG_OWN_REALTY,2
FLOORSMIN_MEDI,2
FLOORSMIN_MODE,2
CC_SK_DPD_MEAN,2
REG_REGION_NOT_WORK_REGION,2
REG_REGION_NOT_LIVE_REGION,2
FLAG_DOCUMENT_8,1
FLAG_CONT_MOBILE,1
AMT_REQ_CREDIT_BUREAU_WEEK,1
BUREAU_CREDIT_DAY_OVERDUE_MAX,1
FLAG_DOCUMENT_13,1
FLAG_DOCUMENT_5,1
CC_MONTHS_BALANCE_MAX,1
CC_SK_DPD_MAX,1
BUREAU_CREDIT_DAY_OVERDUE_SUM,1
BUREAU_CNT_CREDIT_PROLONG_MAX,1
FLAG_DOCUMENT_17,0
FLAG_DOCUMENT_16,0
FLAG_DOCUMENT_20,0
FLAG_DOCUMENT_19,0
AMT_REQ_CREDIT_BUREAU_HOUR,0
FLAG_DOCUMENT_21,0
FLAG_DOCUMENT_11,0
FLAG_DOCUMENT_10,0
FLAG_DOCUMENT_9,0
FLAG_DOCUMENT_2,0
FLAG_DOCUMENT_4,0
FLAG_DOCUMENT_6,0
HOUSETYPE_MODE,0
ELEVATORS_MEDI,0
FLAG_EMP_PHONE,0
FLAG_PHONE,0
LIVE_REGION_NOT_WORK_REGION,0
FLAG_MOBIL,0
FLAG_DOCUMENT_15,0
FLAG_DOCUMENT_14,0
FLAG_DOCUMENT_7,0
FLAG_DOCUMENT_12,0
BUREAU_CNT_CREDIT_PROLONG_SUM,0
BUREAU_CREDIT_DAY_OVERDUE_MIN,0
BUREAU_AMT_CREDIT_SUM_OVERDUE_MIN,0
BUREAU_CNT_CREDIT_PROLONG_MIN,0
PREV_NFLAG_LAST_APPL_IN_DAY_MIN,0
PREV_NFLAG_LAST_APPL_IN_DAY_MAX,0
